CPU(%),MEM_RSS(MB),MEM_VMS(MB),NO_FDs
24.60,52.8,873.0,18
0.00,52.8,873.0,18
0.00,52.8,873.0,18
0.00,52.8,873.0,18
0.00,52.8,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
0.00,52.9,873.0,18
