CPU(%),MEM_RSS(MB),MEM_VMS(MB),NO_FDs
CPU(%),MEM_RSS(MB),MEM_VMS(MB),NO_FDs
24.00,52.6,873.0,18
6.70,52.6,873.0,18
0.00,52.6,873.0,18
0.00,52.6,873.0,18
0.00,52.6,873.0,18
0.00,52.7,873.0,18
0.00,52.7,873.0,18
0.00,52.7,873.0,18
0.00,52.7,873.0,18
0.00,52.7,873.0,18
0.70,52.5,872.8,18
0.70,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
0.00,52.5,872.8,18
