CPU(%),MEM_RSS(MB),MEM_VMS(MB),NO_FDs
24.00,52.5,881.0,18
7.30,52.5,881.0,18
0.00,52.8,881.0,18
0.00,52.8,881.0,18
0.00,52.8,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
0.00,52.9,881.0,18
