CPU(%),MEM_RSS(MB),MEM_VMS(MB),NO_FDs
24.00,53.0,945.0,18
1.30,53.0,945.0,18
0.00,53.0,945.0,18
0.00,53.0,945.0,18
2.00,52.8,944.8,18
2.00,53.0,944.8,18
1.30,53.0,944.8,18
0.70,53.0,944.8,18
3.30,53.0,944.8,18
51.90,53.0,944.8,18
6.00,53.0,944.8,18
9.30,53.0,944.8,18
60.60,53.3,945.1,18
5.30,53.3,945.2,18
4.70,54.8,946.9,18
46.60,61.5,953.5,18
98.60,119.3,1011.1,18
99.90,150.7,1042.6,18
99.20,154.1,1046.0,18
99.90,157.7,1049.6,18
100.60,161.3,1053.2,18
99.90,198.4,1090.4,18
99.90,233.7,1125.6,18
99.90,326.9,1218.8,18
100.60,330.0,1222.0,18
100.00,333.6,1225.6,18
99.90,337.2,1229.1,18
99.90,339.0,1230.9,18
99.90,434.0,1326.0,18
100.60,436.8,1328.8,18
99.90,439.9,1331.8,18
100.60,453.0,1356.7,18
99.90,536.5,1428.5,18
99.90,539.3,1431.3,18
99.90,542.2,1434.2,18
99.90,545.0,1437.0,18
